id,categoria,product,image_url
diavola,pizze-solite,Diavola,https://rs-menus-api.roocdn.com/images/b0858bbd-c05a-4e5b-a7c2-6494a69d4397/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
margherita,pizze-solite,Margherita,https://rs-menus-api.roocdn.com/images/7a086244-bdef-426e-a0bc-48da23529e92/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
bufalina,pizze-solite,Bufalina,https://rs-menus-api.roocdn.com/images/3ac8bb8c-cdad-4d23-83af-b1bd05c07cc1/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
prosciutto-e-funghi,pizze-solite,Prosciutto e funghi,https://rs-menus-api.roocdn.com/images/487f5e5e-756a-49a7-a323-46e9c866a335/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
4-formaggi,pizze-solite,4 formaggi,https://rs-menus-api.roocdn.com/images/4b801e2d-c3dc-42b5-bcbc-f1b6858e53fa/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
tonno-e-cipolla,pizze-solite,Tonno e cipolla,https://rs-menus-api.roocdn.com/images/cce9b307-4e0e-4fbc-86ab-a4e25c46ce10/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
viennese,pizze-solite,Viennese,https://rs-menus-api.roocdn.com/images/9d374738-9639-4c30-bbaa-e29a33129e0a/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
prosciutto-cotto,pizze-solite,Prosciutto cotto,https://rs-menus-api.roocdn.com/images/6e810bec-83de-4e80-8d65-2d87c7e37540/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
capricciosa,pizze-solite,Capricciosa,https://rs-menus-api.roocdn.com/images/181335ce-37f1-4030-a251-509f607ce844/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
vegetariana,pizze-solite,Vegetariana,https://rs-menus-api.roocdn.com/images/3089bc52-f9bc-458e-b07f-b0aec18f396d/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
boscaiola,pizze-solite,Boscaiola,https://rs-menus-api.roocdn.com/images/d1492f5d-b030-4ca0-8d9d-33a8eaa8bb93/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
capricciosa-siciliana,pizze-solite,Capricciosa siciliana,https://rs-menus-api.roocdn.com/images/b83b48fe-78d8-49db-9120-7878f45a28d3/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
romana,pizze-solite,Romana,https://rs-menus-api.roocdn.com/images/0ffbbbc8-3e42-43e5-9d7f-1a26f356c561/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
funghi,pizze-solite,Funghi,https://rs-menus-api.roocdn.com/images/ffa19995-ad8e-40f3-968c-356382c5388a/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
marinara,pizze-solite,Marinara,https://rs-menus-api.roocdn.com/images/80ffd8c8-a181-429c-a3bb-0a05ae49ebc1/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
calzone,pizze-solite,Calzone,
a-carusa,pizze-storiche,A'carusa,https://rs-menus-api.roocdn.com/images/50e23979-3f4a-4b39-ac4c-bef5e235a486/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
u-figghiu,pizze-storiche,U'figghiu,https://rs-menus-api.roocdn.com/images/46bf8a4f-92ad-4bdd-8fb5-c8b5cb1dbeb8/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-vucciria,pizze-storiche,A'vucciria,https://rs-menus-api.roocdn.com/images/949af5af-0623-47ee-ab45-2bdd3bf74d3e/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
u-scunchiurutu,pizze-storiche,U'scunchiurutu,https://rs-menus-api.roocdn.com/images/ffe094ce-ba58-43c5-933e-1ffcc42a654d/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-fimminedda,pizze-storiche,A'fimminedda,https://rs-menus-api.roocdn.com/images/ae21827d-5164-40cb-9e4b-0b7fb08b885e/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-cama-ffare,pizze-storiche,A'cama'ffare,https://rs-menus-api.roocdn.com/images/7a1e43bc-b854-459c-91dd-8b7c48cf5dc2/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-babba,pizze-storiche,A'babba,https://rs-menus-api.roocdn.com/images/c0fbf0fb-108e-45d1-9223-67ab03b6bf90/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
u-mafiusu,pizze-storiche,U'mafiusu,https://rs-menus-api.roocdn.com/images/01e8bd46-ac7f-4615-b2e1-0d9887a29a75/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
u-spacchiusu,pizze-storiche,U'spacchiusu,https://rs-menus-api.roocdn.com/images/fe7abe3d-14e3-41a3-ba61-8f636319393f/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
u-fitusu,pizze-storiche,U'fitusu,https://rs-menus-api.roocdn.com/images/03b23fc0-7dbd-40ce-9eb2-5c8930df2c9e/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-pilusa,pizze-storiche,A'pilusa,https://rs-menus-api.roocdn.com/images/e3263e8c-16ac-40ef-b50e-4395896849b8/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
u-pecuraro,pizze-storiche,U'pecuraro,https://rs-menus-api.roocdn.com/images/78c7c743-b086-481a-9f18-f8a162d70012/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-strammata,pizze-storiche,A'strammata,https://rs-menus-api.roocdn.com/images/e288bed0-013a-42e3-bef7-88ada7418575/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
u-cannavazzu,pizze-storiche,U'cannavazzu,https://rs-menus-api.roocdn.com/images/8fd8c4f9-894f-4805-b7f9-e74532e4114b/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-cammurria,pizze-storiche,A'cammurria,https://rs-menus-api.roocdn.com/images/d5f1a275-5ad0-4651-ad16-909bde995935/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
futtitinni,pizze-storiche,Futtitinni,https://rs-menus-api.roocdn.com/images/6def37b9-a35e-4fee-ac2a-1cfa4d845fa2/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
u-picciriddu,pizze-storiche,U'picciriddu,https://rs-menus-api.roocdn.com/images/826c82f3-82cb-4659-9398-f5439639d2d7/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-tumpulata,pizze-storiche,A'tumpulata,https://rs-menus-api.roocdn.com/images/642633cb-b1e6-4c1d-8982-f80540183954/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-minchiata,pizze-storiche,A'minchiata,https://rs-menus-api.roocdn.com/images/2b5e1abc-fd41-40b8-aaed-7f59a46d4ebc/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
u-beddu,pizze-storiche,U'beddu,
a-zzita,pizze-storiche,A'zzita,https://rs-menus-api.roocdn.com/images/e1cdb40e-26d7-4c5e-9916-9864a157cd1d/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-cucuzza,pizze-storiche,A'cucuzza,
u-cuppino,pizze-storiche,U'cuppino,
a-strafalaria,pizze-storiche,A'strafalaria,https://rs-menus-api.roocdn.com/images/39aaf945-e34c-4e97-9931-1181ede85c5a/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-siciliana,pizze-bianche,A'Siciliana,https://rs-menus-api.roocdn.com/images/fd53340d-85bd-4031-af33-46fffec011fe/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
agrigentina,pizze-bianche,Agrigentina,https://rs-menus-api.roocdn.com/images/6d4c130d-95a5-43ac-b149-30f051b969fd/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-carrapipana,pizze-bianche,A'carrapipana,https://rs-menus-api.roocdn.com/images/b41c8c11-b106-4306-a565-854c93d19a33/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-catanisa,pizze-bianche,A'catanisa,https://rs-menus-api.roocdn.com/images/959f2013-0fde-4a0b-a1d2-9a77bb58d8ef/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-innisa,pizze-bianche,A'innisa,https://rs-menus-api.roocdn.com/images/a4f136f6-038a-4234-845e-821ccb9f1b2b/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-missinisa,pizze-bianche,A'missinisa,https://rs-menus-api.roocdn.com/images/8efb2f33-81c8-47a3-80df-de87d9ec9b39/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-nissena,pizze-bianche,A'nissena,https://rs-menus-api.roocdn.com/images/ee5e14a8-f7ab-4a04-8a6f-b5d237ca26d8/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-palermitana,pizze-bianche,A'palermitana,https://rs-menus-api.roocdn.com/images/0fa3b01e-ba75-4f81-8bd7-d5c52d8e6ff9/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-ragusana,pizze-bianche,A'ragusana,https://rs-menus-api.roocdn.com/images/2cbe3cee-205d-4ef8-a9ad-1b1348b73367/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-siracusana,pizze-bianche,A'siracusana,
a-trapanisa,pizze-bianche,A'trapanisa,https://rs-menus-api.roocdn.com/images/c1e98a22-59fa-400f-b3f2-eb342dd64116/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
